,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:22,Chandigarh,36404,31704,427,4273,
1,2021-04-23 20:33:03,Chandigarh,37232,32180,430,4622,828.0
2,2021-04-24 22:31:20,Chandigarh,37943,32608,433,4902,711.0
3,2021-04-25 20:31:39,Chandigarh,38692,33021,435,5236,749.0
4,2021-04-26 19:40:57,Chandigarh,39513,33498,440,5575,821.0
5,2021-04-27 19:41:24,Chandigarh,40350,33924,446,5980,837.0
6,2021-04-28 21:18:33,Chandigarh,41122,34359,457,6306,772.0
7,2021-04-29 19:31:12,Chandigarh,41923,34806,465,6652,801.0
8,2021-04-30 19:29:59,Chandigarh,42647,35263,478,6906,724.0
9,2021-05-01 21:12:03,Chandigarh,43446,35735,489,7222,799.0
10,2021-05-02 20:09:57,Chandigarh,44306,36218,496,7592,860.0
11,2021-05-03 19:32:32,Chandigarh,45196,36746,507,7943,890.0
12,2021-05-04 19:30:43,Chandigarh,45976,37288,518,8170,780.0
13,2021-05-05 22:25:39,Chandigarh,46793,37898,532,8363,817.0
14,2021-05-06 22:26:06,Chandigarh,47552,38591,541,8420,759.0
15,2021-05-07 19:44:30,Chandigarh,48442,39388,549,8505,890.0
16,2021-05-08 20:59:50,Chandigarh,48442,40249,1428,6765,0.0
17,2021-05-08 21:28:30,Chandigarh,49312,40249,558,8505,870.0
18,2021-05-09 23:13:25,Chandigarh,50207,41128,568,8511,895.0
19,2021-05-10 19:30:40,Chandigarh,51070,41842,575,8653,863.0
20,2021-05-12 10:41:52,Chandigarh,51857,42647,585,8625,787.0
21,2021-05-12 21:45:12,Chandigarh,52633,43506,599,8528,776.0
22,2021-05-13 21:44:33,Chandigarh,53393,44343,609,8441,760.0
23,2021-05-14 20:25:53,Chandigarh,54043,45266,619,8158,650.0
24,2021-05-15 19:44:22,Chandigarh,54703,46229,627,7847,660.0
25,2021-05-16 20:46:53,Chandigarh,55367,47088,635,7644,664.0
26,2021-05-17 20:17:15,Chandigarh,55987,47964,641,7382,620.0
27,2021-05-18 19:36:21,Chandigarh,56513,48831,647,7035,526.0
28,2021-05-19 20:45:53,Chandigarh,56927,49701,656,6570,414.0
29,2021-05-23 14:43:17,Chandigarh,58129,52172,692,5265,1202.0
30,2021-05-23 20:43:28,Chandigarh,58489,52913,702,4874,360.0
31,2021-05-24 19:49:42,Chandigarh,58734,53597,709,4428,245.0
32,2021-05-25 19:56:53,Chandigarh,58992,54215,714,4063,258.0
33,2021-05-26 21:46:42,Chandigarh,59216,54921,722,3573,224.0
34,2021-05-27 20:48:19,Chandigarh,59416,55558,729,3129,200.0
35,2021-05-28 20:42:30,Chandigarh,59577,56084,735,2758,161.0
36,2021-05-29 20:57:23,Chandigarh,59740,56534,740,2466,163.0
37,2021-05-30 20:15:21,Chandigarh,59922,57043,745,2134,182.0
38,2021-05-31 20:55:13,Chandigarh,60046,57526,753,1767,124.0
39,2021-06-01 19:37:42,Chandigarh,60154,57915,758,1481,108.0
40,2021-06-02 20:42:31,Chandigarh,60288,58276,761,1251,134.0
41,2021-06-03 20:21:14,Chandigarh,60399,58502,762,1135,111.0
42,2021-06-04 21:20:02,Chandigarh,60487,58717,765,1005,88.0
43,2021-06-05 20:08:54,Chandigarh,60585,58892,768,925,98.0
44,2021-06-06 20:14:30,Chandigarh,60659,59054,772,833,74.0
45,2021-06-08 00:06:02,Chandigarh,60707,59193,774,740,48.0
46,2021-06-08 20:10:29,Chandigarh,60778,59314,779,685,71.0
47,2021-06-09 20:43:23,Chandigarh,60862,59432,781,649,84.0
48,2021-06-10 19:26:20,Chandigarh,60928,59564,783,581,66.0
49,2021-06-11 21:04:13,Chandigarh,60998,59648,786,564,70.0
50,2021-06-12 19:50:41,Chandigarh,61056,59727,789,540,58.0
51,2021-06-13 19:34:30,Chandigarh,61110,59798,792,520,54.0
52,2021-06-14 19:52:05,Chandigarh,61160,59859,794,507,50.0
53,2021-06-15 20:42:58,Chandigarh,61200,59917,797,486,40.0
