,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:02,Delhi,930179,831928,12887,85364,
1,2021-04-22 23:54:36,Delhi,956348,851537,13193,91618,26169.0
2,2021-04-23 23:24:43,Delhi,980679,875109,13541,92029,24331.0
3,2021-04-24 23:24:30,Delhi,1004782,897804,13898,93080,24103.0
4,2021-04-25 22:29:17,Delhi,1027715,918875,14248,94592,22933.0
5,2021-04-26 23:24:42,Delhi,1047916,940930,14628,92358,20201.0
6,2021-04-27 23:24:18,Delhi,1072065,958792,15009,98264,24149.0
7,2021-04-29 11:30:27,Delhi,1098051,979250,15377,103424,25986.0
8,2021-04-29 15:38:12,Delhi,1098051,982922,15377,99752,0.0
9,2021-04-29 23:19:08,Delhi,1122286,1008537,15772,97977,24235.0
10,2021-04-30 23:17:31,Delhi,1149333,1033825,16147,99361,27047.0
11,2021-05-01 23:17:00,Delhi,1174552,1061246,16559,96747,25219.0
12,2021-05-02 21:11:50,Delhi,1194946,1085690,16966,92290,20394.0
13,2021-05-04 12:00:16,Delhi,1212989,1105983,17414,89592,18043.0
14,2021-05-05 10:23:11,Delhi,1232942,1124771,17752,90419,19953.0
15,2021-05-05 17:39:22,Delhi,1253902,1143980,18063,91859,20960.0
16,2021-05-06 15:38:23,Delhi,1273035,1164008,18398,90629,19133.0
17,2021-05-07 18:18:15,Delhi,1292867,1183093,18739,91035,19832.0
18,2021-05-08 18:17:31,Delhi,1310231,1203253,19071,87907,17364.0
19,2021-05-09 16:35:04,Delhi,1323567,1217991,19344,86232,13336.0
20,2021-05-10 19:31:22,Delhi,1336218,1231297,19663,85258,12651.0
21,2021-05-12 10:40:36,Delhi,1348699,1244880,20010,83809,12481.0
22,2021-05-12 20:17:06,Delhi,1361986,1258951,20310,82725,13287.0
23,2021-05-13 16:13:40,Delhi,1372475,1274140,20618,77717,10489.0
24,2021-05-14 21:45:34,Delhi,1380981,1288280,20907,71794,8506.0
25,2021-05-15 18:58:14,Delhi,1387411,1299872,21244,66295,6430.0
26,2021-05-16 20:47:30,Delhi,1393867,1309578,21506,62783,6456.0
27,2021-05-17 19:08:54,Delhi,1398391,1320496,21846,56049,4524.0
28,2021-05-18 16:38:29,Delhi,1402873,1329899,22111,50863,4482.0
29,2021-05-19 20:43:08,Delhi,1406719,1339326,22346,45047,3846.0
30,2021-05-23 14:39:46,Delhi,1415219,1360898,23013,31308,8500.0
31,2021-05-23 19:11:38,Delhi,1416868,1366056,23202,27610,1649.0
32,2021-05-24 16:36:16,Delhi,1418418,1370431,23409,24578,1550.0
33,2021-05-25 17:15:49,Delhi,1419986,1374682,23565,21739,1568.0
34,2021-05-26 17:19:52,Delhi,1421477,1378634,23695,19148,1491.0
35,2021-05-27 17:29:43,Delhi,1422549,1382359,23812,16378,1072.0
36,2021-05-28 20:07:52,Delhi,1423690,1385158,23951,14581,1141.0
37,2021-05-29 16:14:03,Delhi,1424646,1387538,24073,13035,956.0
38,2021-05-30 19:20:02,Delhi,1425592,1389341,24151,12100,946.0
39,2021-05-31 20:53:52,Delhi,1426240,1390963,24237,11040,648.0
40,2021-06-01 17:38:10,Delhi,1426863,1392386,24299,10178,623.0
41,2021-06-02 16:34:16,Delhi,1427439,1393673,24402,9364,576.0
42,2021-06-03 19:36:38,Delhi,1427926,1394731,24447,8748,487.0
43,2021-06-04 19:35:10,Delhi,1428449,1395892,24497,8060,523.0
44,2021-06-05 20:07:11,Delhi,1428863,1397575,24557,6731,414.0
45,2021-06-06 17:17:16,Delhi,1429244,1398764,24591,5889,381.0
46,2021-06-07 20:31:00,Delhi,1429475,1399640,24627,5208,231.0
47,2021-06-08 20:09:18,Delhi,1429791,1400161,24668,4962,316.0
48,2021-06-09 20:42:16,Delhi,1430128,1400913,24704,4511,337.0
49,2021-06-10 18:51:07,Delhi,1430433,1401473,24748,4212,305.0
50,2021-06-11 21:04:57,Delhi,1430671,1401977,24772,3922,238.0
51,2021-06-12 18:21:57,Delhi,1430884,1402474,24800,3610,213.0
52,2021-06-13 19:00:24,Delhi,1431139,1402850,24823,3466,255.0
53,2021-06-14 18:17:54,Delhi,1431270,1403205,24839,3226,131.0
54,2021-06-15 18:59:15,Delhi,1431498,1403569,24851,3078,228.0
