,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:30,Haryana,390989,328809,3583,58597,
1,2021-04-23 22:31:01,Haryana,402843,335143,3643,64057,11854.0
2,2021-04-24 21:41:04,Haryana,413334,340247,3703,69384,10491.0
3,2021-04-25 21:13:35,Haryana,424319,346304,3767,74248,10985.0
4,2021-04-26 20:44:51,Haryana,435823,352515,3842,79466,11504.0
5,2021-04-27 21:17:13,Haryana,447754,359699,3926,84129,11931.0
6,2021-04-28 22:32:49,Haryana,460198,367317,4021,88860,12444.0
7,2021-04-29 21:14:42,Haryana,474145,376852,4118,93175,13947.0
8,2021-04-30 22:26:38,Haryana,487978,386200,4216,97562,13833.0
9,2021-05-01 21:40:35,Haryana,501566,394709,4341,102516,13588.0
10,2021-05-02 21:41:34,Haryana,514888,405132,4486,105270,13322.0
11,2021-05-03 22:27:57,Haryana,527773,418425,4626,104722,12885.0
12,2021-05-04 22:22:19,Haryana,543559,429950,4779,108830,15786.0
13,2021-05-05 22:16:29,Haryana,558975,440590,4960,113425,15416.0
14,2021-05-06 22:26:40,Haryana,573815,452836,5137,115842,14840.0
15,2021-05-07 22:25:18,Haryana,587682,466420,5299,115963,13867.0
16,2021-05-08 21:28:12,Haryana,602349,480786,5454,116109,14667.0
17,2021-05-09 21:38:16,Haryana,615897,493425,5605,116867,13548.0
18,2021-05-10 21:32:24,Haryana,628615,509617,5766,113232,12718.0
19,2021-05-12 10:41:03,Haryana,640252,525345,5910,108997,11637.0
20,2021-05-12 21:15:29,Haryana,652742,539609,6075,107058,12490.0
21,2021-05-13 21:15:04,Haryana,665028,555650,6238,103140,12286.0
22,2021-05-14 21:01:47,Haryana,675636,570227,6402,99007,10608.0
23,2021-05-15 22:31:11,Haryana,685312,582820,6546,95946,9676.0
24,2021-05-16 21:14:21,Haryana,694427,597676,6685,90066,9115.0
25,2021-05-17 20:45:46,Haryana,701915,611955,6799,83161,7488.0
26,2021-05-18 21:43:39,Haryana,709689,626852,6923,75914,7774.0
27,2021-05-19 21:17:37,Haryana,716507,638673,7076,70758,6818.0
28,2021-05-23 14:40:57,Haryana,733628,678220,7415,47993,17121.0
29,2021-05-23 22:19:59,Haryana,738028,687700,7512,42816,4400.0
30,2021-05-24 21:16:04,Haryana,741785,696059,7607,38119,3757.0
31,2021-05-25 21:29:53,Haryana,744602,702779,7735,34088,2817.0
32,2021-05-26 21:45:48,Haryana,747740,708255,7841,31644,3138.0
33,2021-05-27 21:31:52,Haryana,750062,713934,7939,28189,2322.0
34,2021-05-28 22:04:24,Haryana,752069,718959,8035,25075,2007.0
35,2021-05-29 20:56:37,Haryana,753937,722711,8132,23094,1868.0
36,2021-05-30 21:47:30,Haryana,755389,726081,8221,21087,1452.0
37,2021-05-31 20:54:24,Haryana,756635,729752,8303,18580,1246.0
38,2021-06-01 21:44:29,Haryana,757868,733205,8383,16280,1233.0
39,2021-06-02 21:51:59,Haryana,759039,735910,8461,14668,1171.0
40,2021-06-03 21:55:04,Haryana,760019,738799,8532,12688,980.0
41,2021-06-04 23:32:55,Haryana,760914,741255,8605,11054,895.0
42,2021-06-05 22:00:57,Haryana,761637,742999,8664,9974,723.0
43,2021-06-06 21:45:22,Haryana,762291,744482,8712,9097,654.0
44,2021-06-08 00:21:38,Haryana,762931,746156,8751,8024,640.0
45,2021-06-08 22:33:05,Haryana,763566,747246,8789,7531,635.0
46,2021-06-09 21:31:42,Haryana,764094,748186,8829,7079,528.0
47,2021-06-10 20:26:55,Haryana,764633,749407,8861,6365,539.0
48,2021-06-11 21:30:46,Haryana,765096,750443,8904,5749,463.0
49,2021-06-12 22:47:15,Haryana,765522,751387,8949,5186,426.0
50,2021-06-13 21:05:11,Haryana,765861,752208,8992,4661,339.0
51,2021-06-14 20:13:14,Haryana,766129,753020,9032,4077,268.0
52,2021-06-15 20:42:25,Haryana,766357,753584,9070,3703,228.0
