,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:51:49,Jammu and Kashmir,154407,136221,2092,16094,
1,2021-04-23 19:43:07,Jammu and Kashmir,156344,137240,2111,16993,1937.0
2,2021-04-24 19:04:17,Jammu and Kashmir,158374,138184,2126,18064,2030.0
3,2021-04-25 19:30:12,Jammu and Kashmir,160755,139050,2147,19558,2381.0
4,2021-04-26 19:08:01,Jammu and Kashmir,162890,140117,2172,20601,2135.0
5,2021-04-27 19:41:01,Jammu and Kashmir,166054,141574,2197,22283,3164.0
6,2021-04-28 21:18:18,Jammu and Kashmir,169077,142537,2227,24313,3023.0
7,2021-04-29 20:13:44,Jammu and Kashmir,172551,144154,2253,26144,3474.0
8,2021-04-30 19:29:46,Jammu and Kashmir,176083,145441,2283,28359,3532.0
9,2021-05-01 23:16:24,Jammu and Kashmir,179915,147242,2330,30343,3832.0
10,2021-05-02 20:30:29,Jammu and Kashmir,183486,148695,2370,32421,3571.0
11,2021-05-03 22:28:18,Jammu and Kashmir,187219,150231,2421,34567,3733.0
12,2021-05-04 18:53:50,Jammu and Kashmir,191869,152109,2458,37302,4650.0
13,2021-05-05 20:33:34,Jammu and Kashmir,196585,154447,2510,39628,4716.0
14,2021-05-06 21:41:44,Jammu and Kashmir,201511,157283,2562,41666,4926.0
15,2021-05-07 20:32:29,Jammu and Kashmir,206954,160035,2612,44307,5443.0
16,2021-05-08 19:42:29,Jammu and Kashmir,211742,162535,2672,46535,4788.0
17,2021-05-09 21:10:36,Jammu and Kashmir,216932,164958,2726,49248,5190.0
18,2021-05-10 19:43:31,Jammu and Kashmir,220546,167813,2782,49951,3614.0
19,2021-05-12 10:41:26,Jammu and Kashmir,224898,171350,2847,50701,4352.0
20,2021-05-12 23:22:34,Jammu and Kashmir,229407,174953,2912,51542,4509.0
21,2021-05-13 19:35:01,Jammu and Kashmir,233763,177948,2967,52848,4356.0
22,2021-05-14 20:25:38,Jammu and Kashmir,236790,181762,3027,52001,3027.0
23,2021-05-15 20:10:58,Jammu and Kashmir,240467,185902,3090,51475,3677.0
24,2021-05-16 20:46:39,Jammu and Kashmir,244608,189836,3149,51623,4141.0
25,2021-05-17 20:17:03,Jammu and Kashmir,247952,193878,3222,50852,3344.0
26,2021-05-18 19:50:58,Jammu and Kashmir,251919,197701,3293,50925,3967.0
27,2021-05-19 20:44:50,Jammu and Kashmir,255888,202039,3355,50494,3969.0
28,2021-05-23 14:41:57,Jammu and Kashmir,267313,214664,3513,49136,11425.0
29,2021-05-23 20:42:29,Jammu and Kashmir,270621,219620,3564,47437,3308.0
30,2021-05-24 19:49:19,Jammu and Kashmir,272858,223619,3609,45630,2237.0
31,2021-05-25 21:30:15,Jammu and Kashmir,275822,227242,3662,44918,2964.0
32,2021-05-26 21:46:13,Jammu and Kashmir,278859,231265,3702,43892,3037.0
33,2021-05-27 20:47:48,Jammu and Kashmir,281628,235617,3739,42272,2769.0
34,2021-05-28 20:43:41,Jammu and Kashmir,284431,239254,3795,41382,2803.0
35,2021-05-29 20:57:00,Jammu and Kashmir,286684,243588,3841,39255,2253.0
36,2021-05-30 20:14:56,Jammu and Kashmir,288940,247393,3870,37677,2256.0
37,2021-05-31 20:54:44,Jammu and Kashmir,290465,251463,3907,35095,1525.0
38,2021-06-01 21:44:52,Jammu and Kashmir,292360,255145,3939,33276,1895.0
39,2021-06-02 20:44:06,Jammu and Kashmir,294078,258536,3963,31579,1718.0
40,2021-06-03 20:20:50,Jammu and Kashmir,295879,261230,3992,30657,1801.0
41,2021-06-04 19:35:50,Jammu and Kashmir,297602,263961,4026,29615,1723.0
42,2021-06-05 20:08:04,Jammu and Kashmir,299050,266576,4051,28423,1448.0
43,2021-06-06 20:52:46,Jammu and Kashmir,300490,269675,4074,26741,1440.0
44,2021-06-07 20:49:01,Jammu and Kashmir,301467,273853,4090,23524,977.0
45,2021-06-08 20:10:02,Jammu and Kashmir,302651,276733,4101,21817,1184.0
46,2021-06-09 19:45:05,Jammu and Kashmir,303749,279779,4118,19852,1098.0
47,2021-06-10 19:00:59,Jammu and Kashmir,304866,282142,4143,18581,1117.0
48,2021-06-11 20:55:58,Jammu and Kashmir,305772,284027,4160,17585,906.0
49,2021-06-12 19:51:58,Jammu and Kashmir,306638,286180,4174,16284,866.0
50,2021-06-13 19:34:11,Jammu and Kashmir,307412,288145,4186,15081,774.0
51,2021-06-14 19:43:50,Jammu and Kashmir,307974,290243,4194,13537,562.0
52,2021-06-14 19:53:35,Jammu and Kashmir,308011,290284,4195,13532,37.0
53,2021-06-15 20:31:54,Jammu and Kashmir,308726,292114,4205,12407,715.0
