,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:45:45,Kerala,1322055,1160472,5029,156224,
1,2021-04-23 19:32:13,Kerala,1350502,1166135,5056,178979,28447.0
2,2021-04-24 20:11:07,Kerala,1377187,1173202,5081,198572,26685.0
3,2021-04-25 19:03:59,Kerala,1405656,1181324,5111,218889,28469.0
4,2021-04-26 19:40:22,Kerala,1427546,1189267,5139,232808,21890.0
5,2021-04-27 19:40:20,Kerala,1460365,1207680,5171,247177,32819.0
6,2021-04-28 19:07:36,Kerala,1495378,1223185,5212,266644,35013.0
7,2021-04-29 11:30:18,Kerala,1495378,1223185,5212,266642,0.0
8,2021-04-29 19:31:32,Kerala,1533985,1244301,5260,284085,38607.0
9,2021-04-30 18:56:21,Kerala,1571184,1261801,5309,303732,37199.0
10,2021-05-01 20:08:59,Kerala,1606820,1277294,5357,323827,35636.0
11,2021-05-02 19:28:51,Kerala,1638779,1293590,5406,339438,31959.0
12,2021-05-03 19:32:51,Kerala,1664790,1313109,5451,345883,26011.0
13,2021-05-04 18:18:45,Kerala,1701980,1339257,5508,356868,37190.0
14,2021-05-05 18:18:02,Kerala,1743933,1362363,5566,375657,41953.0
15,2021-05-06 18:19:30,Kerala,1786397,1389515,5629,390906,42464.0
16,2021-05-07 18:55:25,Kerala,1824857,1416177,5683,402646,38460.0
17,2021-05-08 19:28:50,Kerala,1866828,1443633,5747,417097,41971.0
18,2021-05-09 19:29:42,Kerala,1902629,1472951,5815,423512,35801.0
19,2021-05-10 19:31:08,Kerala,1930116,1504160,5880,419725,27487.0
20,2021-05-12 10:40:20,Kerala,1967406,1537138,5959,423955,37290.0
21,2021-05-12 18:29:59,Kerala,2010935,1571738,6054,432789,43529.0
22,2021-05-12 19:05:46,Kerala,2010935,1571738,6054,432787,0.0
23,2021-05-13 20:16:29,Kerala,2050890,1605471,6151,438909,39955.0
24,2021-05-14 19:40:10,Kerala,2085584,1636790,6244,442191,34694.0
25,2021-05-15 20:36:44,Kerala,2118264,1666232,6340,445333,32680.0
26,2021-05-16 20:47:21,Kerala,2147968,1700528,6429,440649,29704.0
27,2021-05-17 19:44:23,Kerala,2169370,1800179,6516,362313,21402.0
28,2021-05-18 19:36:40,Kerala,2200707,1846105,6613,347627,31337.0
29,2021-05-19 20:42:34,Kerala,2233469,1894518,6725,331864,32762.0
30,2021-05-23 14:39:05,Kerala,2322147,2025319,7171,289280,88678.0
31,2021-05-23 20:40:31,Kerala,2347967,2062635,7359,277595,25820.0
32,2021-05-24 21:15:35,Kerala,2365788,2098674,7555,259175,17821.0
33,2021-05-25 20:33:55,Kerala,2395591,2132071,7732,255404,29803.0
34,2021-05-26 19:20:10,Kerala,2424389,2167596,7883,248526,28798.0
35,2021-05-27 19:07:53,Kerala,2448555,2198135,8064,241972,24166.0
36,2021-05-28 20:07:36,Kerala,2470873,2224405,8258,237816,22318.0
37,2021-05-29 21:46:55,Kerala,2494386,2252505,8456,233031,23513.0
38,2021-05-30 20:15:54,Kerala,2514280,2281518,8642,223725,19894.0
39,2021-05-31 20:53:33,Kerala,2526580,2310043,8816,207324,12300.0
40,2021-06-01 20:40:31,Kerala,2546340,2334160,8816,202967,19760.0
41,2021-06-01 21:43:46,Kerala,2546340,2334160,9010,202773,0.0
42,2021-06-02 20:43:11,Kerala,2566001,2363868,9223,192513,19661.0
43,2021-06-03 20:21:49,Kerala,2584854,2390437,9376,184644,18853.0
44,2021-06-04 19:34:58,Kerala,2601083,2416297,9511,174864,16229.0
45,2021-06-05 20:06:54,Kerala,2618411,2440300,9720,167980,17328.0
46,2021-06-06 20:15:04,Kerala,2633083,2461729,9947,160996,14672.0
47,2021-06-07 20:30:43,Kerala,2642396,2483650,10158,148177,9313.0
48,2021-06-08 09:38:37,Kerala,2642396,2483992,10158,147835,0.0
49,2021-06-08 10:38:28,Kerala,2642395,2483992,10157,147830,-1.0
50,2021-06-08 20:09:03,Kerala,2657962,2504011,10281,143249,15567.0
51,2021-06-09 19:35:12,Kerala,2674166,2524248,10437,139060,16204.0
52,2021-06-10 20:09:16,Kerala,2688590,2542242,10631,135296,14424.0
53,2021-06-11 18:57:32,Kerala,2702823,2557597,10804,134001,14233.0
54,2021-06-12 18:13:46,Kerala,2702823,2557597,10804,133997,0.0
55,2021-06-12 19:25:49,Kerala,2702824,2557597,10805,133997,1.0
56,2021-06-13 10:21:31,Kerala,2716656,2575769,10976,129484,13832.0
57,2021-06-13 19:24:12,Kerala,2728240,2593625,11182,123006,11584.0
58,2021-06-14 22:08:27,Kerala,2735959,2610368,11343,113821,7719.0
59,2021-06-15 20:02:45,Kerala,2748205,2623904,11509,112365,12246.0
