,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:58,Lakshadweep,1526,828,1,692,
1,2021-04-23 08:32:10,Lakshadweep,1671,862,1,803,145.0
2,2021-04-23 20:33:22,Lakshadweep,1805,879,1,920,134.0
3,2021-04-24 21:41:42,Lakshadweep,1962,912,1,1044,157.0
4,2021-04-25 19:41:52,Lakshadweep,2126,941,1,1178,164.0
5,2021-04-26 19:41:14,Lakshadweep,2247,1060,1,1179,121.0
6,2021-04-27 20:13:04,Lakshadweep,2401,1191,1,1202,154.0
7,2021-04-28 21:18:48,Lakshadweep,2504,1329,1,1167,103.0
8,2021-04-29 21:15:17,Lakshadweep,2662,1374,4,1276,158.0
9,2021-04-30 20:10:59,Lakshadweep,2767,1430,4,1324,105.0
10,2021-05-01 22:25:50,Lakshadweep,2923,1471,4,1438,156.0
11,2021-05-02 21:42:14,Lakshadweep,3010,1746,4,1247,87.0
12,2021-05-03 20:33:29,Lakshadweep,3096,1872,4,1207,86.0
13,2021-05-03 20:43:15,Lakshadweep,3096,1872,6,1205,0.0
14,2021-05-03 21:15:09,Lakshadweep,3080,1855,6,1206,-16.0
15,2021-05-04 20:36:26,Lakshadweep,3249,2065,6,1165,169.0
16,2021-05-05 22:25:58,Lakshadweep,3376,2225,7,1129,127.0
17,2021-05-07 10:34:22,Lakshadweep,3528,2359,8,1146,152.0
18,2021-05-07 20:31:45,Lakshadweep,3629,2477,9,1127,101.0
19,2021-05-08 19:28:41,Lakshadweep,3756,2692,9,1039,127.0
20,2021-05-09 23:13:46,Lakshadweep,3881,2840,9,1016,125.0
21,2021-05-10 19:43:53,Lakshadweep,3982,2964,10,992,101.0
22,2021-05-12 10:42:24,Lakshadweep,4087,3068,10,993,105.0
23,2021-05-13 10:16:51,Lakshadweep,4202,3155,11,1020,115.0
24,2021-05-13 21:44:50,Lakshadweep,4395,3272,13,1092,193.0
25,2021-05-14 22:30:07,Lakshadweep,4568,3374,13,1163,173.0
26,2021-05-15 20:11:23,Lakshadweep,4650,3469,13,1150,82.0
27,2021-05-16 23:23:14,Lakshadweep,4767,3615,14,1120,117.0
28,2021-05-17 20:34:53,Lakshadweep,4986,3744,14,1208,219.0
29,2021-05-18 22:29:44,Lakshadweep,5212,3895,15,1282,226.0
30,2021-05-19 22:31:50,Lakshadweep,5466,3954,18,1474,254.0
31,2021-05-23 14:44:52,Lakshadweep,6418,4371,24,2000,952.0
32,2021-05-23 20:44:28,Lakshadweep,6611,4512,24,2050,193.0
33,2021-05-24 21:48:27,Lakshadweep,6847,4636,24,2162,236.0
34,2021-05-25 21:29:11,Lakshadweep,7111,4740,26,2320,264.0
35,2021-05-26 21:47:14,Lakshadweep,7229,4930,26,2247,118.0
36,2021-05-27 21:31:08,Lakshadweep,7364,5110,28,2200,135.0
37,2021-05-28 22:03:47,Lakshadweep,7542,5378,29,2109,178.0
38,2021-05-29 20:57:50,Lakshadweep,7631,5596,31,1978,89.0
39,2021-05-30 20:15:42,Lakshadweep,7928,5733,32,2137,297.0
40,2021-06-01 00:14:26,Lakshadweep,8077,6216,33,1802,149.0
41,2021-06-01 21:45:40,Lakshadweep,8166,6538,33,1567,89.0
42,2021-06-02 20:42:56,Lakshadweep,8335,6804,35,1467,169.0
43,2021-06-03 21:54:26,Lakshadweep,8479,7060,35,1355,144.0
44,2021-06-04 23:32:11,Lakshadweep,8568,7294,36,1209,89.0
45,2021-06-05 23:41:53,Lakshadweep,8667,7437,38,1160,99.0
46,2021-06-06 20:14:52,Lakshadweep,8737,7662,38,1005,70.0
47,2021-06-08 00:06:24,Lakshadweep,8775,7857,41,845,38.0
48,2021-06-09 08:24:08,Lakshadweep,8874,7910,42,890,99.0
49,2021-06-09 21:32:40,Lakshadweep,9002,8141,42,787,128.0
50,2021-06-10 20:59:14,Lakshadweep,9073,8278,42,721,71.0
51,2021-06-11 21:22:12,Lakshadweep,9122,8382,43,665,49.0
52,2021-06-12 22:48:30,Lakshadweep,9175,8483,43,615,53.0
53,2021-06-13 22:48:44,Lakshadweep,9209,8555,44,576,34.0
54,2021-06-15 08:09:22,Lakshadweep,9236,8637,44,520,27.0
55,2021-06-15 21:04:46,Lakshadweep,9297,8733,45,484,61.0
