,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:52:42,Sikkim,6846,6023,136,536,
1,2021-04-23 08:31:58,Sikkim,6970,6041,137,641,124.0
2,2021-04-24 00:08:34,Sikkim,7037,6055,137,694,67.0
3,2021-04-24 23:24:09,Sikkim,7158,6069,137,798,121.0
4,2021-04-26 11:33:45,Sikkim,7306,6073,138,941,148.0
5,2021-04-26 23:24:20,Sikkim,7329,6093,140,942,23.0
6,2021-04-27 00:09:02,Sikkim,7329,6093,140,928,0.0
7,2021-04-27 22:30:42,Sikkim,7426,6133,142,983,97.0
8,2021-04-28 22:33:28,Sikkim,7577,6154,143,1106,151.0
9,2021-04-29 23:18:50,Sikkim,7747,6176,146,1247,170.0
10,2021-05-01 00:52:47,Sikkim,7952,6195,147,1432,205.0
11,2021-05-01 22:25:37,Sikkim,8211,6236,148,1647,259.0
12,2021-05-02 20:29:48,Sikkim,8441,6304,149,1808,230.0
13,2021-05-03 18:21:15,Sikkim,8468,6404,150,1723,27.0
14,2021-05-04 21:11:56,Sikkim,8698,6426,151,1930,230.0
15,2021-05-05 17:39:58,Sikkim,8919,6515,155,2050,221.0
16,2021-05-06 23:52:44,Sikkim,9183,6565,158,2261,264.0
17,2021-05-07 10:34:15,Sikkim,9183,6565,158,2256,0.0
18,2021-05-07 20:31:34,Sikkim,9451,6688,160,2398,268.0
19,2021-05-08 17:39:10,Sikkim,9651,6688,160,2598,200.0
20,2021-05-08 18:17:10,Sikkim,9651,6753,165,2528,0.0
21,2021-05-09 16:34:46,Sikkim,9878,6869,167,2637,227.0
22,2021-05-10 17:29:53,Sikkim,9924,7008,169,2542,46.0
23,2021-05-12 10:42:09,Sikkim,10165,7042,177,2741,241.0
24,2021-05-12 18:15:08,Sikkim,10392,7135,183,2866,227.0
25,2021-05-13 16:37:39,Sikkim,10623,7277,192,2946,231.0
26,2021-05-14 19:41:01,Sikkim,10855,7446,198,3003,232.0
27,2021-05-15 18:57:56,Sikkim,11070,7647,203,3012,215.0
28,2021-05-16 20:47:04,Sikkim,11410,7899,205,3098,340.0
29,2021-05-17 16:12:59,Sikkim,11480,8123,210,2939,70.0
30,2021-05-18 15:12:30,Sikkim,11689,8217,212,3052,209.0
31,2021-05-19 20:46:32,Sikkim,11961,8439,214,3100,272.0
32,2021-05-23 14:44:08,Sikkim,12814,9183,221,3200,853.0
33,2021-05-23 19:14:22,Sikkim,13138,9381,224,3323,324.0
34,2021-05-24 14:50:40,Sikkim,13239,9605,232,3192,101.0
35,2021-05-25 17:43:03,Sikkim,13511,9692,237,3372,272.0
36,2021-05-25 18:25:01,Sikkim,13517,9692,237,3378,6.0
37,2021-05-26 21:46:59,Sikkim,13812,9934,239,3429,295.0
38,2021-05-27 17:29:14,Sikkim,14220,10158,240,3612,408.0
39,2021-05-28 17:00:44,Sikkim,14640,10385,243,3802,420.0
40,2021-05-29 19:23:13,Sikkim,14913,10616,247,3838,273.0
41,2021-05-30 20:54:11,Sikkim,15177,10746,250,3969,264.0
42,2021-05-31 20:55:29,Sikkim,15323,10829,253,4029,146.0
43,2021-06-01 18:05:29,Sikkim,15626,11163,257,3992,303.0
44,2021-06-02 21:51:04,Sikkim,15876,11299,260,4103,250.0
45,2021-06-03 19:35:59,Sikkim,16165,11504,263,4184,289.0
46,2021-06-04 18:03:02,Sikkim,16518,11766,266,4272,353.0
47,2021-06-05 20:09:13,Sikkim,16771,12049,268,4240,253.0
48,2021-06-06 17:18:17,Sikkim,17111,12296,273,4306,340.0
49,2021-06-07 17:30:52,Sikkim,17170,12680,273,4051,59.0
50,2021-06-08 20:45:34,Sikkim,17425,12966,275,4018,255.0
51,2021-06-09 16:51:14,Sikkim,17656,13265,276,3869,231.0
52,2021-06-10 15:29:40,Sikkim,17943,13378,279,4040,287.0
53,2021-06-11 17:17:22,Sikkim,18090,13655,281,3908,147.0
54,2021-06-12 18:29:30,Sikkim,18257,13947,281,3783,167.0
55,2021-06-13 19:08:00,Sikkim,18414,14334,281,3553,157.0
56,2021-06-14 15:05:10,Sikkim,18450,14615,281,3308,36.0
57,2021-06-14 15:13:11,Sikkim,18450,14615,281,3306,0.0
58,2021-06-15 18:20:56,Sikkim,18659,14887,284,3239,209.0
