,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:45:58,Tamil Nadu,1037711,934966,13317,89428,
1,2021-04-23 19:32:19,Tamil Nadu,1051487,943044,13395,95048,13776.0
2,2021-04-24 20:10:20,Tamil Nadu,1066329,952186,13475,100668,14842.0
3,2021-04-25 19:30:49,Tamil Nadu,1081988,963251,13557,105180,15659.0
4,2021-04-26 20:44:32,Tamil Nadu,1097672,976876,13651,107145,15684.0
5,2021-04-27 21:16:56,Tamil Nadu,1113502,990919,13728,108855,15830.0
6,2021-04-28 19:07:43,Tamil Nadu,1130167,1006033,13826,110308,16665.0
7,2021-04-29 20:32:56,Tamil Nadu,1148064,1021575,13933,112556,17897.0
8,2021-04-30 19:30:24,Tamil Nadu,1166756,1037582,14046,115128,18692.0
9,2021-05-01 20:34:51,Tamil Nadu,1186344,1054746,14193,117405,19588.0
10,2021-05-02 19:43:37,Tamil Nadu,1207112,1072322,14346,120444,20768.0
11,2021-05-03 22:27:42,Tamil Nadu,1228064,1090338,14468,123258,20952.0
12,2021-05-04 18:53:29,Tamil Nadu,1249292,1109450,14612,125230,21228.0
13,2021-05-05 22:16:14,Tamil Nadu,1272602,1129512,14779,128311,23310.0
14,2021-05-06 19:30:08,Tamil Nadu,1297500,1151058,14974,131468,24898.0
15,2021-05-07 19:43:51,Tamil Nadu,1323965,1173439,15171,135355,26465.0
16,2021-05-08 19:42:08,Tamil Nadu,1351362,1196549,15412,139401,27397.0
17,2021-05-09 23:13:58,Tamil Nadu,1380259,1220064,15648,144547,28897.0
18,2021-05-10 19:31:18,Tamil Nadu,1409237,1240968,15880,152389,28978.0
19,2021-05-12 10:40:32,Tamil Nadu,1438509,1260150,16178,162181,29272.0
20,2021-05-12 20:17:02,Tamil Nadu,1468864,1279658,16471,172735,30355.0
21,2021-05-13 21:45:02,Tamil Nadu,1499485,1298945,16768,183772,30621.0
22,2021-05-14 20:25:05,Tamil Nadu,1531377,1318982,17056,195339,31892.0
23,2021-05-15 20:53:50,Tamil Nadu,1565035,1339887,17359,207789,33658.0
24,2021-05-16 21:43:39,Tamil Nadu,1598216,1361204,17670,219342,33181.0
25,2021-05-17 20:16:39,Tamil Nadu,1631291,1381690,18005,231596,33075.0
26,2021-05-18 20:37:21,Tamil Nadu,1664350,1403052,18369,242929,33059.0
27,2021-05-19 21:16:50,Tamil Nadu,1699225,1426915,18734,253576,34875.0
28,2021-05-23 14:39:36,Tamil Nadu,1806861,1502537,20046,284278,107636.0
29,2021-05-23 20:40:55,Tamil Nadu,1842344,1527733,20468,294143,35483.0
30,2021-05-24 21:48:48,Tamil Nadu,1877211,1554759,20872,301580,34867.0
31,2021-05-25 20:34:04,Tamil Nadu,1911496,1583504,21340,306652,34285.0
32,2021-05-26 21:45:16,Tamil Nadu,1945260,1613221,21815,310224,33764.0
33,2021-05-27 21:31:29,Tamil Nadu,1978621,1643284,22289,313048,33361.0
34,2021-05-28 20:07:47,Tamil Nadu,2009700,1674539,22775,312386,31079.0
35,2021-05-29 20:56:15,Tamil Nadu,2039716,1706298,23261,310157,30016.0
36,2021-05-30 20:16:05,Tamil Nadu,2067505,1738206,23753,305546,27789.0
37,2021-05-30 20:54:41,Tamil Nadu,2068580,1739280,23754,305546,1075.0
38,2021-05-31 20:53:47,Tamil Nadu,2096516,1770503,24232,301781,27936.0
39,2021-06-01 21:43:55,Tamil Nadu,2123029,1802176,24722,296131,26513.0
40,2021-06-02 20:43:20,Tamil Nadu,2148346,1834439,25205,288702,25317.0
41,2021-06-03 20:21:59,Tamil Nadu,2172751,1866660,25665,280426,24405.0
42,2021-06-04 21:19:12,Tamil Nadu,2195402,1900306,26128,268968,22651.0
43,2021-06-05 22:02:21,Tamil Nadu,2216812,1932778,26571,257463,21410.0
44,2021-06-06 20:52:02,Tamil Nadu,2237233,1965939,27005,244289,20421.0
45,2021-06-07 20:30:55,Tamil Nadu,2256681,1997299,27356,232026,19448.0
46,2021-06-08 20:09:13,Tamil Nadu,2274704,2028344,27765,218595,18023.0
47,2021-06-09 19:35:21,Tamil Nadu,2292025,2059597,28170,204258,17321.0
48,2021-06-10 20:09:25,Tamil Nadu,2308838,2091646,28528,188664,16813.0
49,2021-06-11 19:53:28,Tamil Nadu,2324597,2120889,28906,174802,15759.0
50,2021-06-12 20:10:04,Tamil Nadu,2339705,2148352,29280,162073,15108.0
51,2021-06-13 19:43:02,Tamil Nadu,2353721,2174277,29544,149900,14016.0
52,2021-06-13 19:53:43,Tamil Nadu,2353721,2174247,29547,149927,0.0
53,2021-06-14 21:15:23,Tamil Nadu,2366493,2199808,29801,136884,12772.0
54,2021-06-15 19:42:57,Tamil Nadu,2378298,2223015,30068,125215,11805.0
