,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
0,2021-04-22 22:46:10,West Bengal,700904,621340,10766,68798,
1,2021-04-23 20:33:38,West Bengal,713780,628218,10825,74737,12876.0
2,2021-04-24 21:13:52,West Bengal,728061,635802,10884,81375,14281.0
3,2021-04-25 21:13:26,West Bengal,743950,644209,10941,88800,15889.0
4,2021-04-26 20:44:42,West Bengal,759942,653984,11009,94949,15992.0
5,2021-04-27 21:17:03,West Bengal,776345,664648,11082,100615,16403.0
6,2021-04-28 21:18:02,West Bengal,793552,676581,11159,105812,17207.0
7,2021-04-29 20:33:02,West Bengal,810955,689466,11248,110241,17403.0
8,2021-04-30 20:33:33,West Bengal,828366,703398,11344,113624,17411.0
9,2021-05-01 20:08:14,West Bengal,845878,717772,11447,116659,17512.0
10,2021-05-02 20:10:31,West Bengal,863393,733359,11539,118495,17515.0
11,2021-05-03 21:15:25,West Bengal,880894,749296,11637,119961,17501.0
12,2021-05-04 20:35:45,West Bengal,898533,765843,11744,120946,17639.0
13,2021-05-05 22:16:21,West Bengal,916635,782916,11847,121872,18102.0
14,2021-05-06 21:41:22,West Bengal,935066,800328,11964,122774,18431.0
15,2021-05-07 20:32:11,West Bengal,954282,818108,12076,124098,19216.0
16,2021-05-08 20:30:00,West Bengal,973718,836351,12203,125164,19436.0
17,2021-05-09 20:08:34,West Bengal,993159,854805,12327,126027,19441.0
18,2021-05-10 19:44:12,West Bengal,1012604,873480,12461,126663,19445.0
19,2021-05-12 10:40:44,West Bengal,1032740,892474,12593,127673,20136.0
20,2021-05-12 22:31:49,West Bengal,1053117,911705,12728,128684,20377.0
21,2021-05-13 21:14:52,West Bengal,1073956,930886,12857,130213,20839.0
22,2021-05-14 20:25:11,West Bengal,1094802,950017,12993,131792,20846.0
23,2021-05-15 20:36:53,West Bengal,1114313,969228,13137,131948,19511.0
24,2021-05-16 20:47:38,West Bengal,1133430,988341,13284,131805,19117.0
25,2021-05-17 20:16:45,West Bengal,1152433,1007442,13431,131560,19003.0
26,2021-05-18 19:35:54,West Bengal,1171861,1026492,13576,131793,19428.0
27,2021-05-19 20:43:27,West Bengal,1190867,1045643,13733,131491,19006.0
28,2021-05-23 14:40:07,West Bengal,1248668,1102772,14208,131688,57801.0
29,2021-05-23 20:41:15,West Bengal,1267090,1122201,14364,130525,18422.0
30,2021-05-24 19:10:58,West Bengal,1284973,1141871,14517,128585,17883.0
31,2021-05-25 19:19:10,West Bengal,1301978,1160928,14674,126376,17005.0
32,2021-05-26 21:45:28,West Bengal,1318203,1179999,14827,123377,16225.0
33,2021-05-27 20:05:22,West Bengal,1331249,1199120,14975,117154,13046.0
34,2021-05-28 20:07:59,West Bengal,1343442,1218516,15120,109806,12193.0
35,2021-05-29 20:16:33,West Bengal,1354956,1237290,15268,102398,11514.0
36,2021-05-30 20:54:50,West Bengal,1366240,1255932,15410,94898,11284.0
37,2021-05-31 20:54:02,West Bengal,1376377,1273788,15541,87048,10137.0
38,2021-06-01 21:44:07,West Bengal,1385801,1291510,15678,78613,9424.0
39,2021-06-02 20:43:32,West Bengal,1394724,1308896,15813,70015,8923.0
40,2021-06-03 19:36:45,West Bengal,1403535,1325834,15921,61780,8811.0
41,2021-06-04 19:35:17,West Bengal,1411463,1342400,16034,53029,7928.0
42,2021-06-05 11:22:17,West Bengal,1411448,1342391,16034,53023,-15.0
43,2021-06-05 20:07:22,West Bengal,1419130,1358537,16152,44441,7682.0
44,2021-06-06 20:52:11,West Bengal,1426132,1374419,16259,35454,7002.0
45,2021-06-07 20:31:11,West Bengal,1432019,1388771,16362,26886,5887.0
46,2021-06-08 20:09:26,West Bengal,1437446,1401061,16460,19925,5427.0
47,2021-06-09 19:35:30,West Bengal,1442830,1411573,16555,14702,5384.0
48,2021-06-10 20:09:36,West Bengal,1448104,1416743,16642,14719,5274.0
49,2021-06-11 20:36:27,West Bengal,1452987,1421064,16731,15192,4883.0
50,2021-06-12 19:32:41,West Bengal,1457273,1424213,16812,16248,4286.0
51,2021-06-13 19:33:42,West Bengal,1461257,1426710,16896,17651,3984.0
52,2021-06-14 18:49:16,West Bengal,1464776,1428881,16974,18921,3519.0
53,2021-06-15 19:23:00,West Bengal,1468044,1430949,17049,20046,3268.0
