,Time,State,Confirmed,Recovered,Deaths,Active,New Cases
1,2021-06-15 20:43:14,Andaman and Nicobar Islands,7280,7049,126,105,11.0
3,2021-06-15 18:19:54,Andhra Pradesh,1820134,1732948,12052,75134,5741.0
5,2021-06-16 08:35:43,Arunachal Pradesh,31938,28934,155,2849,290.0
7,2021-06-16 08:35:13,Assam,466590,421378,4028,39837,3415.0
9,2021-06-15 21:03:55,Bihar,717949,704075,9514,4359,410.0
11,2021-06-15 20:42:58,Chandigarh,61200,59917,797,486,40.0
13,2021-06-16 08:34:56,Chhattisgarh,988172,963113,13342,11717,609.0
15,2021-06-15 21:46:53,Dadra and Nagar Haveli and Daman and Diu,10473,10372,4,64,3.0
17,2021-06-15 18:59:15,Delhi,1431498,1403569,24851,3078,228.0
19,2021-06-15 18:11:11,Goa,163048,155926,2947,4175,327.0
21,2021-06-15 20:54:28,Gujarat,821078,802187,10007,8884,352.0
23,2021-06-15 20:42:25,Haryana,766357,753584,9070,3703,228.0
25,2021-06-15 21:04:13,Himachal Pradesh,199197,191732,3394,4050,321.0
27,2021-06-15 20:31:54,Jammu and Kashmir,308726,292114,4205,12407,715.0
29,2021-06-16 08:35:22,Jharkhand,343793,336058,5089,2646,184.0
31,2021-06-15 20:21:32,Karnataka,2777010,2581559,33148,162282,5041.0
33,2021-06-15 20:02:45,Kerala,2748205,2623904,11509,112365,12246.0
35,2021-06-16 10:51:45,Ladakh,19649,18898,199,552,38.0
37,2021-06-15 21:04:46,Lakshadweep,9297,8733,45,484,61.0
39,2021-06-15 20:31:22,Madhya Pradesh,788649,776424,8615,3610,14.0
41,2021-06-15 21:39:01,Maharashtra,5924773,5669179,114154,138361,7652.0
43,2021-06-15 20:22:28,Manipur,61096,51354,998,8744,785.0
45,2021-06-15 14:38:45,Meghalaya,42759,37579,750,4430,450.0
47,2021-06-16 13:14:08,Mizoram,15899,12191,71,3637,47.0
49,2021-06-15 19:33:08,Nagaland,23854,19753,459,2972,-10.0
51,2021-06-16 12:42:46,Odisha,863061,811780,3485,47796,3535.0
53,2021-06-16 14:51:04,Puducherry,113622,107425,1702,4495,430.0
55,2021-06-15 21:47:42,Punjab,589153,562701,15650,10802,628.0
57,2021-06-15 19:52:24,Rajasthan,950133,935658,8856,5619,172.0
59,2021-06-15 18:20:56,Sikkim,18659,14887,284,3239,209.0
61,2021-06-15 19:42:57,Tamil Nadu,2378298,2223015,30068,125215,11805.0
63,2021-06-15 20:12:30,Telangana,606436,582993,3510,19933,1556.0
65,2021-06-16 14:51:34,Total,29637068,28381884,379658,863862,430.0
67,2021-06-16 12:43:23,Tripura,60382,54810,626,4923,536.0
69,2021-06-15 21:03:35,Uttar Pradesh,1703207,1674072,21914,7221,-20.0
71,2021-06-15 20:12:52,Uttarakhand,337449,321064,6985,3642,274.0
73,2021-06-15 19:23:00,West Bengal,1468044,1430949,17049,20046,3268.0
